Movie Title,Release Year,Tomatometer Score,Directed By,Starring,Critics Consensus,Synopsis
Leave No Trace,(2018),100%,Debra Granik,"Ben Foster, Thomasin McKenzie, Jeff Kober, Dale Dickey",Leave No Tracetakes an effectively low-key approach to a potentially sensationalistic story -- and further benefits from brilliant work by Ben Foster and Thomasin McKenzie.,"A father and daughter live a perfect but mysterious existence in Forest Park, a beautiful nature reserve near Portland, Ore., rarely making contact with the world. But when a small mistake tips them off to authorities, they are sent on an increasingly erratic journey in search of a place to call their own."
Toy Story 2,(1999),100%,"Ash Brannon, John Lasseter, Lee Unkrich","Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer","The rare sequel that arguably improves on its predecessor,Toy Story 2uses inventive storytelling, gorgeous animation, and a talented cast to deliver another rich moviegoing experience for all ages.","Woody (Tom Hanks) is stolen from his home by toy dealer Al McWhiggin (Wayne Knight), leaving Buzz Lightyear (Tim Allen) and the rest of the gang to try to rescue him. But when Woody discovers that he's actually a valuable collectible from a once-popular television show called ""Woody's Roundup"" and is reunited with his horse Bullseye, Jessie the yodeling cowgirl (Joan Cusack) and his faithful sidekick, Stinky Pete the Prospector (Kelsey Grammer), he doesn't want to leave."
All We Imagine as Light,(2024),100%,Payal Kapadia,"Kani Kusruti, Divya Prabha, Chhaya Kadam, Hridhu Haroon","Capturing the here and now of modern India with the spontaneity of a candid photograph,All We Imagine as Lightis a lustrous achievement that announces Payal Kapadia as an essential filmmaker.","The light, the lives, and the textures of contemporary, working-class Mumbai are explored and celebrated by writer/director Payal Kapadia, who won the Grand Prize at this year's Cannes Film Festival for her revelatory fiction feature debut. Centering on two roommates who also work together in a city hospital--head nurse Prabha (Kani Kusruti) and recent hire Anu (Divya Prabha)--plus their coworker, cook Parvaty (Chhaya Kadam), Kapadia's film alights on moments of connection and heartache, hope and disappointment. Prabha, her husband from an arranged marriage living in faraway Germany, is courted by a doctor at her hospital; Anu carries on a romance with a Muslim man, which she must keep a secret from her strict Hindu family; Parvaty finds herself dealing with a sudden eviction from her apartment. Kapadia captures the bustle of the metropolis and the open-air tranquility of a seaside village with equal radiance, articulated by her superb actresses and by the camera with a lyrical naturalism that occasionally drifts into dreamlike incandescence. All We Imagine as Light is a soulful study of the transformative power of friendship and sisterhood, in all its complexities and richness."
Wallace & Gromit: Vengeance Most Fowl,(2024),100%,"Merlin Crossingham, Nick Park","Ben Whitehead, Peter Kay, Lauren Patel, Reece Shearsmith","Comforting as cheese and crackers, with some gentle ribbing of modern technology sprinkled on top,Vengeance Most Fowlrevives this lovable pair with all their charm intact.","Aardman's four-time Academy Award®-winning director Nick Park and Emmy Award-nominated Merlin Crossingham return with a brand new epic adventure, Wallace & Gromit: Vengeance Most Fowl. In this next installment, Gromit's concern that Wallace is becoming too dependent on his inventions proves justified, when Wallace invents a ""smart"" gnome that seems to develop a mind of its own. When it emerges that a vengeful figure from the past might be masterminding things, it falls to Gromit to battle sinister forces and save his master... or Wallace may never be able to invent again!"
Gloria,(2013),100%,Sebastián Lelio,"Paulina García, Sergio Hernández, Diego Fontecilla, Coca Guazzini","Marvelously directed by Sebastian Lelio and beautifully led by a powerful performance from Paulina Garcia,Gloriatakes an honest, sweetly poignant look at a type of character that's all too often neglected in Hollywood.","Aardman's four-time Academy Award®-winning director Nick Park and Emmy Award-nominated Merlin Crossingham return with a brand new epic adventure, Wallace & Gromit: Vengeance Most Fowl. In this next installment, Gromit's concern that Wallace is becoming too dependent on his inventions proves justified, when Wallace invents a ""smart"" gnome that seems to develop a mind of its own. When it emerges that a vengeful figure from the past might be masterminding things, it falls to Gromit to battle sinister forces and save his master... or Wallace may never be able to invent again!"
His House,(2020),100%,Remi Weekes,"Wunmi Mosaku, Sope Dirisu, Matt Smith, Cornell John","Featuring genuine scares through every corridor,His Houseis a terrifying look at the specters of the refugee experience and a stunning feature debut for Remi Weekes.","A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface."
The Philadelphia Story,(1940),100%,George Cukor,"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey","Offering a wonderfully witty script, spotless direction from George Cukor, and typically excellent lead performances,The Philadelphia Storyis an unqualified classic.","This classic romantic comedy focuses on Tracy Lord (Katharine Hepburn), a Philadelphia socialite who has split from her husband, C.K. Dexter Haven (Cary Grant), due both to his drinking and to her overly demanding nature. As Tracy prepares to wed the wealthy George Kittredge (John Howard), she crosses paths with both Dexter and prying reporter Macaulay Connor (James Stewart). Unclear about her feelings for all three men, Tracy must decide whom she truly loves."
Seven Samurai,(1954),100%,Akira Kurosawa,"Toshiro Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi","Arguably Akira Kurosawa's masterpiece, The Seven Samurai is an epic adventure classic with an engrossing story, memorable characters, and stunning action sequences that make it one of the most influential films ever made.","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village."
Summer 1993,(2017),100%,Carla Simón,"Laia Artigas, Paula Robles, Bruna Cusí, David Verdaguer",Summer 1993 (Estiu 1993)finds writer-director Carla Simón drawing on personal memories to create a thoughtful drama elevated by outstanding work from its young leads.,"Six-year-old Frida looks on in silence as the last objects from her recently deceased mother's apartment in Barcelona are placed in boxes. Although her aunt, uncle and younger cousin welcome her with open arms, Frida finds it hard to forget her mother and adapt to her new home in the Catalan countryside."
The Tale of the Princess Kaguya,(2013),100%,Isao Takahata,"Chloë Grace Moretz, James Caan, Mary Steenburgen, Darren Criss","Boasting narrative depth, frank honesty, and exquisite visual beauty,The Tale of the Princess Kaguyais a modern animated treasure with timeless appeal.","A tiny nymph found inside a bamboo stalk grows into a beautiful and desirable young woman, who orders her suitors to prove their love by completing a series of near-impossible tasks."
